Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-16,Senior,DFE-1183,N/D,SCS1,Deputy Director,"Head of Funding Policy Unit, with responsibility for policy on funding for the day-to-day running of schools and colleges, 5-19, including the Dedicated Schools Grant (Schools and High Needs); 16-19 funding, the Pupil Premium; the Education Services Grant and funding for Academies; and for supporting schools and colleges to spend their funding efficiently.",Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1124,874171,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1135,Mike Green,SCS2,Director,"The Director of Capital is part of the EFAâ€™s Senior Team and head of the Capital Directorate which is one of four EFA Directorates. The Director oversees the Directors of the Operations & Support Group and Programme Delivery Divisions. The Director ensures the successful delivery of the EFA remit for Capital Programmes and supports the Chief Executive in making the EFA an outstandingly successful vehicle for education transformation by ensuring the effective procurement of educational institutions, in line with the Secretary of Stateâ€™s vision.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1136,677700,1,130000,134999,Operational Delivery,,1
Mar-16,Senior,DFE-1264,N/D,SCS1,Deputy Director,Deputy Director for Free Schools Capital (South). We have responsibility for identifying sites and providing buildings for free schools in the south of England.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1192,1635321,0.58,N/A,N/A,Operational Delivery,Jobshare,1
Mar-16,Senior,DFE-1042,N/D,SCS1,Deputy Director,"Deputy Director role is to establish and lead a project team to work with HMT to design, develop and implement a new financial reporting framework for the department that will deliver:
â€¢ transparent and accountable reporting of academy expenditure;
â€¢ improved in-year data forecasting and management information, to support better financial management;
â€¢ deliver more timely reporting.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1291,210382,1,N/A,N/A,Finance,,1
Mar-16,Senior,DFE-1006,Ann Gross,SCS2,Director,"With two other Directors, jointly leading the Childrenâ€™s Services Policy Family which supports Ministers in developing and implementing policies relating to childrenâ€™s issues. Responsible within the Policy Family for policy on  special educational needs and disabilities, DfEâ€™s interests in childrenâ€™s mental health, children in care and adoption.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1002,333822,1,90000,94999,Policy,,1
Mar-16,Senior,DFE-1265,N/D,SCS1,Deputy Director,"Deputy Directors, Early Years Entitlements and Affordability (jobshare). Responsible for delivering the existing entitlement to 15 hours of free early learning for disadvantaged two year olds and all three and four year olds; and for doubling this entitlement to 30 hours of free childcare for three and four year olds from working families.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1019,894526,0.69,N/A,N/A,Policy,Jobshare,1
Mar-16,Senior,DFE-1266,N/D,SCS1,Deputy Director,"Provide effective financial advice and guidance across the department to improve financial management and control; provide assurance that the DfE adheres to accounting standards and remains within its HMT financial control totals and enable meaningful financial engagement, debate and confident decision-making at the top of the organisation.",Department for Education,Department For Education,Finance and Commercial Group,0370 000 2288,N/D,DFE-1009,1560141,1,N/A,N/A,Finance,,1
Mar-16,Senior,DFE-1225,N/D,SCS1,Deputy Director,"Lead the Transactions & Procurement team in EFA Capital which consists of specialists providing commercial advice and support in the following areas:
ÂŸConstruction framework procurement and management; 
ÂŸGeneral commercial and procurement support  to EFA Capital activities; 
ÂŸLegal property support for programme delivery particularly in respect of Free Schools, UTCs, Studio Schools and the PSBP Capital programmes;
ÂŸLegal construction programme and project delivery advice and support for EFA capital programmes.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,1500864,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1022,N/D,SCS1,Deputy Director,"Deputy Director - Systems Development and Controls Division of Finance and Commercial Group (FCG).  Three principle roles:-
1. I am the Senior Finance Business Partner for the Infrastructure and Funding Directorate of DfE;
2. I manage the Transactional Shared Service contract with Shared Services Connected Limited, the DfEâ€™s outsourced provider.  Linked to this, I also manage an improvement project to drive more value from the service and make it easier to access for DfE Staff.  In addition, I  manage a number of retained transaction service functions;
3. I also lead on VAT, Tax, Travel & Subsistence, Fraud, Error and Debt.
Chair of the DfE LGBT Staff Network.",Department for Education,Department For Education,Finance and Commercial Group,0370 000 2288,N/D,DFE-1009,1382125,1,N/A,N/A,Other,,1
Mar-16,Senior,DFE-1244,Dominic Herrington,SCS2,Director,"Regional Schools Commissioner for the South East and South London: responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,377850,1,125000,129999,Operational Delivery,,1
Mar-16,Senior,DFE-1081,N/D,SCS1,Deputy Director,"Deputy Director for Free Schools (North), UTCs and Studio Schools Capital.  Responsible for ensuring the successful and timely procurement and transformation of suitable free school sites in the north and UTCs/Studio Schools across the country.  Also DfE Head of Site for St Paulâ€™s Place, Sheffield.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1192,1633890,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1255,N/D,SCS1,Deputy Director,Deputy Director in the Government Equalities Office and responsible for the LGB&T Policy & Directorâ€™s Office.,Department for Education,Department For Education,Children Services and Departmental Strategy,0370 000 2288,N/D,DFE-1251,243877,0.9,N/A,N/A,Other,,1
Mar-16,Senior,DFE-1033,N/D,SCS1,Deputy Director,"Head of Academies Operations and Strategy Division. Supporting the effective delivery of the Academies programme, working with the 8 Regional Schools Commissioners, the Schools Commissioner and the rest of Academies Group. Helping ensure a sufficient number of high quality academy sponsors in the right geographical areas. Managing the specialist contractors who support schools becoming academies. Co-ordinating processes to secure the approval of academy projects. Managing specific academy related budgets. Collecting and analysing academy programme management data and delivering priority projects across the Academies Group.",Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1277,2217011,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1274,N/D,SCS1,Deputy Director,"Through embedded finance business partners, weÂ provide accurate, high quality and proportionate information, analysis and tools to help EFA's Capital Group and Central Capital Unit to plan and manage annual budgets effectively, provide value for money services and to continuously improve the effectiveness of financial management.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1291,34870,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1086,Elizabeth Jackson,SCS2,Director,"Director of System Reform Group, which aims to bring more quality, diversity and choice to the school system.  The Group covers policy on academies, admissions, school place planning, school governance and the regulation of independent schools.",Department for Education,Department For Education,System Reform Group,0370 000 2288,N/D,DFE-1084,350107,1,85000,89999,Policy,,1
Mar-16,Senior,DFE-1064,N/D,SCS1,Deputy Director,"Head of the Education Funding Agency and Skills Funding Agencyâ€™s combined intervention team covering London and the South East.
The four intervention teams across England identify providers of 16- 19 and adult education & training who are at risk through analytical tools and local intelligence; implement a range of early and formal intervention strategies to prevent or remedy institutionsâ€™ poor performance; manage Exceptional Support Funds to sustain on a temporary basis general further education colleges that would otherwise be insolvent; and support delivery & implementation of area review recommendations to restructure colleges.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1137,763136,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1078,Suzy Jenner,SCS2,Director,"Head of Communications, responsible for leading the external communications team (Campaigns and Press Office) to ensure that the work of the department is understood by the public, our partners and stakeholders.",Department for Education,Department For Education,Communications Group,0370 000 2288,N/D,DFE-1002,1537334,1,65000,69999,Communications,,1
Mar-16,Senior,DFE-1040,N/D,SCS1,Deputy Director,"Head of teacher quality and leadership division, responsible for policy on teacher professionalism, development and leadership.",Department for Education,Department For Education,Teachers and Teaching Group,0370 000 2288,N/D,DFE-1017,765788,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1170,N/D,SCS1,Deputy Director,"Deputy Director for School Organisation and Admissions Division (SOAD). SOAD is responsible for five areas of schools policy: Faith, including relationships with those who run faith schools; School Organisation, which covers issues such as the establishment, closure and expansion of state-funded schools; Home to school transport;  Admissions, where the Division's work is to ensure that all children and young people have fair access to schools, including ensuring that barriers are not erected through school uniform or school charging policies; and, the role of the local authority in education.",Department for Education,Department For Education,System Reform Group,0370 000 2288,N/D,DFE-1086,1300620,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1009,Simon Judge,SCS2,Director,"Finance Director for the Department. The central finance, estates and commercial teams report to this role, which also takes the lead on information risk issues.",Department for Education,Department For Education,Finance and Commercial Group,0370 000 2288,N/D,DFE-1263,842667,1,95000,99999,Finance,,1
Mar-16,Senior,DFE-1192,N/D,SCS1,Deputy Director,"The Divisional Director of Free Schools Capital ensures that sites are secured and functional buildings constructed for all free schools approved to open by the Department.Â  They are responsible for the Departmentâ€™s largest capital delivery programme with a multi-billion pound budget.Â  They work closely with the Director of Free Schools Group and also have an important role in managing and developing relationships on funding and delivery matters with senior officials in DfE, HMT and other Government Departments as necessary and engage with a range of external stakeholders including local authorities and school trusts.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,1001029,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1106,N/D,SCS1,Deputy Director,"The Head of Capital Funding ensures that there are comprehensive, efficient and effective systems and processes to support the allocation and payment of capital funding for local authorities, academies and colleges.  
This involves:
â€¢ development of strategy, systems and processes for the management of capital funding from allocation to payment 
â€¢ managing and developing relationships on funding matters with senior officials in DfE, HMT and other Government Departments 
â€¢ engaging with external stakeholders including local authorities, dioceses and school trusts on funding matters.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1216,493316,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1172,N/D,SCS1,Deputy Director,"Deputy Director for Qualifications Division.  Responsible for GCSEs and A levels, including the current reform programme, and relationships with Ofqual.  Also have a role on communications and implementation across accountability, curriculum and qualifications.
Add PropCo project",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1005,0,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1005,Julia Kinniburgh,SCS2,Director,"Director for Accountability, Curriculum and Qualifications (jobshare)",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1003,413339,0.7,85000,89999,Policy,,1
Mar-16,Senior,DFE-1002,Paul Kissack,SCS3,Director General,"Director-General for Childrenâ€™s Services, Equalities and Communications,(formerly Childrenâ€™s Services and Departmental Strategy Directorate) and Head of Policy Profession. Responsible for childrenâ€™s services policy including adoption, early years, the SEN reforms, local authority interventions, social work, children in care and child protection. Also responsible for communications, support to Ministers, and the Government Equalities Office.",Department for Education,Department For Education,Children Services and Departmental Strategy,0370 000 2288,N/D,DFE-1001,916607,0.8,125000,129999,Other,,1
Mar-16,Senior,DFE-1208,N/D,SCS1,Deputy Director,"Deputy Director - Education Standards Evidence and Dissemination Division (ESEDD). ESEDD is a multidisciplinary analytical division (meaning we have statisticians, social researchers, economists and operational researchers). We provide analysis and evidence to support the development, monitoring and evaluation of a range of education standards policies. 
We publish a wide range of statistics (such as attainment by pupil characteristics, absence and exclusions, participation in education and training, school workforce), social research and evaluation reports.",Department for Education,Department For Education,Data and Education Standards Analysis,0370 000 2288,N/D,DFE-1220,2000012,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1187,N/D,SCS1,Deputy Director,"Responsible for policy on free schools in the pre-opening stage and for taking forward individual proposals in (1) the South East & South London, (2) North West London & South Central, (3) Lancashire and West Yorkshire, and (4) The North RSC regions.",Department for Education,Department For Education,Free School Group,0370 000 2288,N/D,DFE-1090,1316967,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1268,N/D,SCS1,Deputy Director,"Head of the Childrenâ€™s Social Work Reform unit:  entry programmes (Frontline and Step Up), design and rollout of assessment and accreditation, set up of new regulatory framework for the social work profession.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1016,869530,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1136,Peter Lauener,SCS3,Director General,"Chief Executive of the Education Funding Agency, within the DfE, and Accounting Officer for the EFAâ€™s Â£54 billion budget. Responsible for the revenue and capital funding of education for 3 to 19 year olds and covering some disabled young people to age 25.  The EFAâ€™s principal responsibilities are: to fund academies, free schools and university technical colleges; to distribute funding to local authorities to pass to their maintained schools; to fund providers of 16-19 education and training; to deliver schools capital programmes such as the Priority School Building Programme; and to administer capital funding allocated to local authorities",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1084,731957,1,140000,144999,Other,,1
Mar-16,Senior,DFE-1284,Tim Leunig/Donna Ward,SCS2,Director,"Chief Analyst, responsible for the quality and accuracy of analytical advice across the Department. Also, Chief Scientific Officer.",Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,0370 000 2288,N/D,DFE-1263,65606,1,125000,129999,Economics,,1
Mar-16,Senior,DFE-1287,N/D,SCS1,Deputy Director,The Division are responsible for the new strategies on school improvement and on Achieving Excellence Areas. We also provide the secretariat for the Northern Powerhouse Schools Strategy Review.,Department for Education,National College,NCTL,0370 000 2288,N/D,DFE-1021,85217,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1271,N/D,SCS1,Deputy Director,DD with responsibility for Local Authority performance and intervention in children's social care services.,Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1016,580613,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1270,N/D,SCS1,Deputy Director,"Curriculum Division: responsible for policy about curriculum matters in primary and secondary schools in England. This includes supporting ministers to make policy decisions about the curriculum, and about individual curriculum subjects, and the management of contracts and grants to support the implementation of the curriculum in schools.",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1285,1147236,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1285,Veronica Makinson,SCS2,Director,Deputy Director DfE structures project.,Department for Education,Department For Education,Finance and Commercial Group,0370 000 2288,N/D,DFE-1263,66565,0.6,85000,89999,Finance,,1
Mar-16,Senior,DFE-1075,N/D,SCS1,Deputy Director,"Responsible for the improvement of corporate performance, departmental knowledge and records management, internal communications and engagement, and corporate change.",Department for Education,Department For Education,HR and Change Group,0370 000 2288,N/D,DFE-1263,1267555,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1084,Andrew McCully,SCS3,Director General,"Infrastructure and Funding Directorate is responsible for: securing higher standards of education through the delivery of academies and free schools programmes; ensuring effective oversight of academies and free schools through the work of Regional Schools Commissioners; maintenance and reform of funding system for pre and post-16 education to secure a system which is transparent, where funding follows the pupil and where pupils with additional needs attract additional funding; developing and implementing policy on pre and post-16 capital funding; applying ministers' deregulatory principles to organisation of the school system; improving the resilience of the school system against the threat of extremism.",Department for Education,Department For Education,Infrastructure and Funding Directorate,0370 000 2288,N/D,DFE-1001,960226,1,125000,129999,Other,,1
Mar-16,Senior,DFE-1065,N/D,SCS1,Deputy Director,"Academies Group Territory: responsible for open academies in the Central region including: compliance with the Funding Agreement, casework from academies, responses to POs/TOs, complaints about academies and risk assessment and management.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1133,1653604,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1247,N/D,SCS1,Deputy Director,"Leading a division providing analytical support to DfEâ€™s Infrastructure and Funding Directorate. This includes modelling, research, statistical and economic analysis on funding, the provision of schools and school places, school choice and admissions.",Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1124,1963546,1,N/A,N/A,Programme and Project Management (PPM),,1
Mar-16,Senior,DFE-1277,Claudine Menashe-Jones,SCS2,Director,"Leads Academies Group, which is responsible for the delivery of the Academies Programme in support of the Regional Schools Commissioners. This includes enabling schools to convert to become Academies, brokering sponsored Academy solutions for underperforming maintained schools, tackling poor performance of open Academies and supporting the growth and development of the sponsor market.",Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1084,360591,1,85000,89999,Policy,,1
Mar-16,Senior,DFE-1028,N/D,SCS1,Deputy Director,"Deputy Director has overall responsibility for leading the Teacher Services Division of the National College for Teaching and Leadership. The Division supports the award of qualified teacher status, the investigation and consideration of cases where it is alleged that a teacher is guilty of unacceptable professional conduct, conduct that may bring the profession into disrepute or where the teacher has been convicted of a relevant offence.  The Division maintains the list of prohibited teachers and makes it available. The Division acts as the appeal body for teachers who have failed their induction period.",Department for Education,National College,NCTL,0370 000 2288,N/D,DFE-1049,1459486,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1173,N/D,SCS1,Deputy Director,"Responsible for Special Educational Needs and Disability (SEND) policy and, in particular, the implementation of the reforms to the SEND system set out in the Children and Families Act, 2014.",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1006,1603214,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1137,Peter Mucklow,SCS2,Director,"Allocating and securing value for money for Â£7bn of annual revenue funding to 3300 schools, colleges and training providers for education of 16-19 year olds and disabled people aged 19-25. Delivering a national programme of 38 Area Reviews to restructure 330 FE sector colleges in England. Monitoring the financial health of and leading intervention in failing FE and Sixth Form Colleges and training providers. Managing national Student Bursary programmes to engage disadvantaged 16-19 year olds into education. Leading and managing 220 staff in Education Funding Agency and Skills Funding Agency in a dispersed delivery organisation based in 11 cities.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1136,498863,1,90000,94999,Operational Delivery,,1
Mar-16,Senior,DFE-1151,N/D,SCS1,Deputy Director,Post elimated. Post holder is surplus and on outward loan.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1291,1299073,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1153,N/D,SCS1,Deputy Director,"Deputy Director for HR Group and Head of Site for the departmentâ€™s office in Darlington. HR professional responsible for the delivery and continuous improvement of HR services to the department and its agencies, equality and diversity, learning and development and recruitment.",Department for Education,Department For Education,HR and Change Group,0370 000 2288,N/D,DFE-1011,858252,1,N/A,N/A,Human Resources,,1
Mar-16,Senior,DFE-1296,N/D,SCS1,Deputy Director,"Deputy Director - Innovation, City Deals and Child Protection Taskforce",Department for Education,Department For Education,"Childcare, Special Needs and Childrenâ€™s Services Strategy",0370 000 2288,N/D,DFE-1016,805510,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1021,Sinead O'Sullivan,SCS2,Director,"Responsible for overall day to day management of the National College for Teaching and Leadership and, in particular, for Programme Delivery of initial teacher training, growth of Teaching Schools, and expansion of system leadership at the National College for Teaching and Leadership (NCTL).",Department for Education,National College,NCTL,0370 000 2288,N/D,DFE-1003,425029,1,85000,89999,Policy,,1
Mar-16,Senior,DFE-1272,N/D,SCS1,Deputy Director,TBC,Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1087,617187,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1243,N/D,SCS1,Deputy Director,"Chief Economist and Head of Strategic Analysis and Research Division (SARD). SARD work to ensure that policy & strategy are data driven across the Department for Education by:
ÂŸProducing robust and accessible analysis and research to support policy development or in areas of strategic importance to DfE; e.g. Spending Review.
ÂŸProviding leadership for DFE research by supporting and quality assuring the research programme and engaging the external research community on our research strategy  
ÂŸEnabling the department to be evidence based through increasing the effectiveness and use of DfE analytical resource, e.g. policy curriculum, analytical reviews.",Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,0370 000 2288,N/D,DFE-1215,925418,1,N/A,N/A,Economics,,1
Mar-16,Senior,DFE-1291,Simon Parkes,SCS2,Director,"Chief Financial Officer.  Responsible for leading the EFAâ€™s Finance, Assurance and Data and Systems functions to achieve their key priorities â€“ funding education providers in England and ensuring that the money spent by the EFA is properly accounted for by recipients and that they maintain high standards of financial probity with public money.  Providing support to the Accounting Officer and ensuring the EFA secures value for money through developing the Agencyâ€™s management information; ensuring that the right information is available at the right time to support the EFAâ€™s strategic decision making.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1136,1416450,1,135000,139999,Other,,1
Mar-16,Senior,DFE-1289,N/D,SCS1,Deputy Director,"Responsible for the DfE Design Authority and Portfolio Management. We set the strategic direction for efficient and modern IT system and solutions that sustain and meet the future business needs of DfE, ensure the IT-enabled business change portfolio achieves the desired contribution to strategic objectives, ensure that DfE IT-business change initiatives represent VFM and realise benefits and contribute to building project delivery management capability across the Department.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1263,535351,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1242,Pankaj Patel,SCS2,Director,"Regional Schools Commissioner for the West Midlands responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,336011,1,125000,129999,Operational Delivery,,1
Mar-16,Senior,DFE-1273,N/D,SCS1,Deputy Director,"Senior Policy Advisors work with the Secretary of State and Ministers, their Private Offices and Special Advisers to (1) Provide high quality strategy and policy advice, and respond rapidly to day-to-day requests for briefing and advice on current and emerging issues, (2) Work closely with colleagues across the Department to ensure that the policy and communications priorities of the Secretary of State and Ministers are fully understood, (3) Support colleagues in the strategy and policy-making process, brokering solutions among Ministers when there are policy differences, (4)Support the decision-making process across government to troubleshoot cross-cutting policy issues.",Department for Education,Department For Education,Strategy Performance and Private Office Group,0370 000 2288,N/D,DFE-1249,0,1,N/A,N/A,Other,,1
Mar-16,Senior,DFE-1249,N/D,SCS1,Deputy Director,"As Principal Private Secretary (PPS) to the Secretary of State, I lead her immediate Private Office as well as the whole Private Office Division, which comprises the teams supporting the Secretary of State for Education, all Ministers, and advisers.",Department for Education,Department For Education,Strategy Performance and Private Office Group,0370 000 2288,N/D,DFE-1002,1660841,1,N/A,N/A,Other,,1
Mar-16,Senior,DFE-1139,N/D,SCS1,Deputy Director,"Academies Funding Division: responsible for the funding of all open and opening academy types and Free Schools. This includes the annual allocations cycle, funding within the terms of individual funding agreements, dealing with issues with and revisions to funding throughout the year, working closely with the Free Schools Group, the Converter and sponsored academy divisions and the funding policy team.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1133,2657695,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1129,N/D,SCS1,Deputy Director,"Responsible for policy on the monitoring and intervention framework for open free schools, for educational interventions in open free schools and for taking forward pre-opening projects in (1) the South West, (2) the West Midlands, (3) the East Midlands and the Humber, and (4) the East of England and North East London RSC regions.",Department for Education,Department For Education,Free School Group,0370 000 2288,N/D,DFE-1090,1183334,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1241,Martin Post,SCS2,Director,"Regional Schools Commissioner for North West London and South Central: responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,405850,1,125000,129999,Operational Delivery,,1
Mar-16,Senior,DFE-1226,N/D,SCS1,Deputy Director,"Lead project taking stock of specialist SEND provision, working alongside the Special Educational Needs and disability Division",Department for Education,Department For Education,System Reform Group,0370 000 2288,N/D,DFE-1086,0,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1251,Alison Pritchard,SCS2,Director,"Government Equalities Office: The Director is the senior responsible owner for: cross-government equality strategy; gender equality policy; lesbian, gay, bisexual and transgender equality policy; broader equalities legislation, including the Equality Act 2010; EU and international policy; and GEOâ€™s sponsorship of the Equality and Human Rights Commission.",Department for Education,Department For Education,Government Equalities Office,0370 000 2288,N/D,DFE-1002,410517,1,90000,94999,Policy,,1
Mar-16,Senior,DFE-1254,N/D,SCS1,Deputy Director,Deputy Director in the Government Equalities Office and responsible for the Equality Framework.,Department for Education,Department For Education,Government Equalities Office,0370 000 2288,N/D,DFE-1251,659596,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1142,N/D,SCS1,Deputy Director,"The role of DD Young Peopleâ€™s Group - Programmes and Development includes development of the EFAâ€™s funding system for 16-19 year old students, 14-16 year olds in full time FE, and HNS aged 16-24; implementation of the 16-19 accountability and intervention policy for EFA funded providers; operation of the enquiry service for the Group; line/site management of YP staffing cadres; and national role in governance and corporate/development boards as determined by SCS 2. The role of DD Central Intervention, Skills Funding Agency (SFA) includes implementation of the accountability and intervention policy for SFA funded providers.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1137,1633020,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1108,N/D,SCS1,Deputy Director,"External Assurance Division: providing assurance to the Chief Executive, EFA, on the proper use of funds (Â£52 billion). Includes funds to schools (via direct support grant), academies, colleges (16-19 funding), private training/ independent specialist providers, including capital funding. Delivering assurance arrangements for the Teaching Agency, assessing the financial health of academies/colleges and supporting those in financial difficulty/financial intervention. Providing advice, assurance and financial viability matters to EFA colleagues. Responsibility for developing overall assurance arrangements, contributing widely to policy development, development of assurance arrangements for academies, and responsibility for the financial assessment of applications for free schools, UTCs, and special schools.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1291,0,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1252,N/D,SCS1,Deputy Director,Deputy Director in the Government Equalities Office and responsible for the Gender Equality and EU and International Team.,Department for Education,Department For Education,Government Equalities Office,0370 000 2288,N/D,DFE-1251,700097,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1240,Janet Renou,SCS2,Director,"Regional Schools Commissioner for the North responsible for tackling educational underperformance and inadequate governance in open academies; approving new academy provision; managing the regional sponsor market for academies; and providing advice and taking decisions in relation to free schools, UTCs and studio schools.",Department for Education,Department For Education,Regional Schools Commissioners Group,0370 000 2288,N/D,DFE-1213,289774,1,125000,129999,Operational Delivery,,1
Mar-16,Senior,DFE-1061,N/D,SCS1,Deputy Director,The Deputy Director of the Private Finance Team leads the team that is responsible for the commercial development and delivery of privately financed solutions as well as advice and assistance to operational privately financed deals. This role includes the management of the private finance arm of the Priority School Building Programme and the ongoing performance of the more delivery focused aspects of the traditional Private Finance Unit (PFU) role in respect of legacy education sector PFI contracts including BSF and pre-BSF schools PFI.,Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1135,907684,1,N/A,N/A,Operational Delivery,,1
Mar-16,Senior,DFE-1146,N/D,SCS1,Deputy Director,"Responsible for the free school application and assessment processes; programme management of the free schools programme including management information, communications and oversight of the Departmentâ€™s relationship with New Schools Network; and the future development of the free school programme.",Department for Education,Department For Education,Free School Group,0370 000 2288,N/D,DFE-1090,1543192,1,N/A,N/A,Policy,,1
Mar-16,Senior,DFE-1283,N/D,SCS1,Deputy Director,"Vocational Education and 16-19 Policy Division: responsible for all vocational education provision; English and maths for young people who did not achieve A*-C at GCSE; the 16-19 provider base; 16-19 funding; and the wider 16+ skills strategy working closely with colleagues across DfE, BIS and other Government Departments.",Department for Education,Department For Education,Closing The Gap,0370 000 2288,N/D,DFE-1214,1032012,1,N/A,N/A,Policy,,1
