Back to Index,Senion/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Sep-14,Senior,24038,Geoffrey Spence,SCS2,"Chief Executive, Infrastructure UK","Responsible for growth-related policy and expenditure, includes infrasture stratgy and delivery, and public private partnerships.",Her Majesty's Treasury,HM Treasury,Infrastructure UK (IUK),020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23164,3782974,1,170000,174999,,Policy,,1
Sep-14,Senior,24025,Kirstin Baker,SCS2,"Director, Finance and Commercial","Responsible for Estates, IT, Management of Domestic Budget, Accounts and Commercial Activities",Her Majesty's Treasury,HM Treasury,Corporate Centre,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,881896,0.6,50000,54999,,Policy,Part time 0.6 FTE,1
Sep-14,Senior,24031,Lindsey Fussell,SCS2,"Director, Public Services",Responsible for Oversight of Major Public Service Expenditure,Her Majesty's Treasury,HM Treasury,Public Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,1,85000,89999,,Policy,,1
Sep-14,Senior,25705,David Allen,SCS2,"Director, Public Spending Group","Responsible for Spending Control, Pay and Pensions",Her Majesty's Treasury,HM Treasury,Public Spending,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,26072,0,1,115000,119999,,Policy,,1
Sep-14,Senior,25915,Katharine Braddick,SCS2,Director Financial Services,Responsible for EU and international policy and engagement strategy.,Her Majesty's Treasury,HM Treasury,Financial Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24775,0,1,125000,129999,,Policy,,1
Sep-14,Senior,24032,Peter Curwen,SCS2,Director Europe,Responsible for Europe Finance,Her Majesty's Treasury,HM Treasury,International and EU,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25448,0,1,90000,94999,,Policy,,1
Sep-14,Senior,24033,Lowri Khan,SCS2,Director Financial Stability,"Responsible to monitor, contingency plan and intervene were necessary in situations of financial stability; and to manage the legacy of the financial sector interventions the Government has already undertaken.",Her Majesty's Treasury,HM Treasury,Financial Stability,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24775,0,1,85000,89999,,Policy,,1
Sep-14,Senior,26249,Robert Woods,SCS2,Director Economic Projects,Responsible for Economics,Her Majesty's Treasury,HM Treasury,Economics,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,0,1,85000,89999,,Economics,,1
Sep-14,Senior,24029,Vacant,SCS2,"Director, Public Services",Responsible for Oversight of Major Public Service Expenditure,Her Majesty's Treasury,HM Treasury,Public Services,N/A,public.enquiries@hmtreasury.gsi.gov.uk,23165,0,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24058,Shona Riach,SCS2,Director International,Responsible for advancing the UK's economic and financial interests,Her Majesty's Treasury,HM Treasury,International and EU,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25448,0,1,85000,89999,,Policy,,1
Sep-14,Senior,24028,Jeremy Pocklington,SCS2,"Director, Enterprise & Growth Unit (EGU)",Responsible for Expenditure and Policy on Growth-Related Services and Business,Her Majesty's Treasury,HM Treasury,Enterprise and Growth,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,23164,0,1,85000,89999,,Policy,,1
Sep-14,Senior,24036,James Bowler,SCS2,Director Strategy Planning and Budget,"Responsible for defining forward strategy, work programme, the budget, and short-term priority policy projects",Her Majesty's Treasury,HM Treasury,"Strategy, Planning and  Budget",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0,1,100000,104999,,Policy,,1
Sep-14,Senior,24059,James Richardson,SCS2,"Director, Fiscal Policy","Responsible for Fiscal strategy, funding, and dept management, and montoring fiscal position.",Her Majesty's Treasury,HM Treasury,Fiscal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,0,1,85000,89999,,Policy,,1
Sep-14,Senior,24027,Mike Williams,SCS2,Director  Business and International Tax,"Responsible for Corporation Tax, Capital Gains Tax, Value Added Tax, other consumption taxes and duties, International Tax and Environmental taxes.",Her Majesty's Treasury,HM Treasury,Business and International Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0,1,110000,114999,,Policy,,1
Sep-14,Senior,24030,Beth Russell,SCS2,"Director, Personal Tax, Welfare and pensions Group","Responsible for Personal Tax, Welfare, Labour Market policy, HMRC/DWP Expenditure, Pensions and Savings, and Distributional Analysis.",Her Majesty's Treasury,HM Treasury,"Personal Tax, Welfare and Pensions",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24042,0,1,85000,89999,,Policy,,1
Sep-14,Senior,24596,Stephen Field,SCS2,Director IMF,Responsible for IMF,Her Majesty's Treasury,HM Treasury,International and EU,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25448,0,1,80000,84999,,Policy,,1
Sep-14,Senior,21007,James Ballingall,SCS1A,IUK Comm Specialist,Responsible for Infrastructure UK international work,Her Majesty's Treasury,HM Treasury,Assurance & International,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24038,0,1,185000,189999,,Policy,Not graded so allocated SCS1A,1
Sep-14,Senior,25648,N/D,SCS1,"Deputy Director,European Parliament Policy and Strategy",Responsible for European Parliament policy and Strategy,Her Majesty's Treasury,HM Treasury,International Institutions and Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,0,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24017,N/D,SCS1,"Deputy Director, Strategy Planning and Projects","Responsible for Strategy, Planning and Projects",Her Majesty's Treasury,HM Treasury,"Strategy, Planning & Projects",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24036,773043,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24056,N/D,SCS1,"Deputy Director, Home and Legal",Responsible for Home and Legal,Her Majesty's Treasury,HM Treasury,Home and Legal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,363238,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23987,N/D,SCS1,"Deputy Director, Fiscal Policy and Statistics",Responsible for Fiscal Policy and Statistics,Her Majesty's Treasury,HM Treasury,Directors Office Fiscal,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24059,796767,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26077,N/D,SCS1,Deputy Director. Pensions and Savings,Responsible for Pensions and Savings,Her Majesty's Treasury,HM Treasury,Pensions and Savings Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,567480,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24010,N/D,SCS1,"Deputy Director, Economic Assessment and Model Unit",Responsible for Economics of the Union and Model Unit,Her Majesty's Treasury,HM Treasury,Economics of the UK,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,371596,1,N/A,N/A,,Economics,,1
Sep-14,Senior,24773,N/D,SCS1,"Deputy Director, Education, Children, and Culture","Responsible for Education, Children,and Culture",Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,495473,0.6,N/A,N/A,,Policy,Part time 0.6 FTE,1
Sep-14,Senior,26003,N/D,SCS1,"Deputy Director, Education, Children, and Culture","Responsible for Education, Children,and Culture",Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,0,0.6,N/A,N/A,,Policy,Part time 0.6 FTE,1
Sep-14,Senior,24884,N/D,SCS1,"Deputy Director, Housing Planning and Cities",Responsible for Housing Planning and Cities,Her Majesty's Treasury,HM Treasury,Housing Planning and Cities,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,474483,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24350,N/D,SCS1,"Deputy Director, Tax Administration, Spending and Reform","Responsible for Tax administration,HMRC Spending and tax avoidance/compliance",Her Majesty's Treasury,HM Treasury,"Tax Administration, Spending and Reform",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,372557,0.8,N/A,N/A,,Policy,Part time 0.8 FTE,1
Sep-14,Senior,24942,N/D,SCS1,"Deputy Director, Financial Management Review Implementation",Responsible for Government Finance Professio,Her Majesty's Treasury,HM Treasury,Financial Management Review Implementation,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25705,0,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24005,N/D,SCS1,"Deputy Director, Communications",Responsible for Communications,Her Majesty's Treasury,HM Treasury,COM Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,792396,1,N/A,N/A,,Communications,,1
Sep-14,Senior,24057,N/D,SCS1,"Deputy Director, Personal Taxation",Responsible for Personal Taxation,Her Majesty's Treasury,HM Treasury,Personal Taxation,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,924877,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24051,N/D,SCS1,"Deputy Director, Health",Responsible for health and social care,Her Majesty's Treasury,HM Treasury,Health,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,434445,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23995,N/D,SCS1,"Deputy Director, Banking and Credit","Responsible for policy on business and consumer lending, mortgages and funding, retail banking issues, payment services and mutual financial institutions",Her Majesty's Treasury,HM Treasury,Banking & Credit,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24064,854464,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25142,N/D,SCS1,"Deputy Director, Debt and Reserves Management and Intervention Strategy and Markets",Responsible for Debt Reserves Management,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24059,397501,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25957,N/D,SCS1,"Deputy Director, Markets for Government Service",Responsible for Markets for Government Services,Her Majesty's Treasury,HM Treasury,Markets for Government Services,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,0,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26020,N/D,SCS1,Deputy Director General Expenditure Policy,Responsible for General Expenditure Policy,Her Majesty's Treasury,HM Treasury,General Expenditure Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,26072,1317887,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26142,N/D,SCS1,"Deputy Director, Insurance and UK Regulatory Authorities",Responsible for Insurance and Savings,Her Majesty's Treasury,HM Treasury,Insurance and UK Regulatory Authorities,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24064,496946,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24363,N/D,SCS1,"Deputy Director, Group Human Resources","Responsible for providing HR policies and services, including business partnering, recruitment, learning and development, casework, health and wellbeing and diversity.",Her Majesty's Treasury,HM Treasury,Group Human Resources,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24062,1285330,1,N/A,N/A,,Human Resources,,1
Sep-14,Senior,24549,N/D,SCS1,"Deputy Director, Macroeconomic Coordination & Strategy",Responsible for Macroeconomic Coordination & Strategy,Her Majesty's Treasury,HM Treasury,Macroeconomic Coordination & Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,431490,1,N/A,N/A,,Economics,,1
Sep-14,Senior,23984,N/D,SCS1,"Deputy Director, Ministerial Support",Responsible for Ministerial Support,Her Majesty's Treasury,HM Treasury,Chancellors Office,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,1836151,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25807,N/D,SCS1,"Deputy Director, Workforce Pay and Pensions",Responsible for Pay and Pensions policy,Her Majesty's Treasury,HM Treasury,Pay and Pensions Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,26072,0,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26791,N/D,SCS1,"Deputy Director, Budget & Tax Strategy","Responsible for delivering the Budget and Autumn Statement, the Finance Bill, and for the coordination of tax strategy",Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24036,719247,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23999,N/D,SCS1,"Deputy Director, Securities and Markets",Responsible for Securties and Markets,Her Majesty's Treasury,HM Treasury,Securities & Markets,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25915,908030,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26247,N/D,SCS1,"Deputy Director, EU Banking & Financial Services Strategy",Responsible for managing EU financial services strategy,Her Majesty's Treasury,HM Treasury,EU Banking & Financial Services Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25915,697486,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24016,N/D,SCS1,"Deputy Director, Growth and Productivity",Responsible for Growth and Productivity,Her Majesty's Treasury,HM Treasury,Growth and Productivity,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,591783,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26231,N/D,SCS1,"Deputy Director, VAT & Excise",Responsible for VAT and Excise Policy,Her Majesty's Treasury,HM Treasury,VAT & Excise,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,802364,0.75,N/A,N/A,,Policy,Part time  0.75 FTE,1
Sep-14,Senior,25259,N/D,SCS1,"Deputy Director,Labour Markets, Distributional Analysis and Housing Benefit.","Responsible for Labour Markets, Distributional Analysis and Housing Benefit.",Her Majesty's Treasury,HM Treasury,"Labour Markets, Distributional Analysis and Housing Benefit.",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,653857,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26578,N/D,SCS1,Deputy Director,Responsible for elements of Welfare Spending and Reform,Her Majesty's Treasury,HM Treasury,Welfare Spending and Reform,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,0,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25793,N/D,SCS1,"Deputy Director, EU Economics Reform",Responsible for EU Economics and reform,Her Majesty's Treasury,HM Treasury,EU Economics Reform,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,300494,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26175,N/D,SCS1,"Deputy Director, Guidance Guarantee Implementation",Responsible for the Guidance Guarantee Programme,Her Majesty's Treasury,HM Treasury,Pensions Guarantee Guidance Programme,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24064,254346,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23964,N/D,SCS1,"Deputy Director, Joint Workspace Solutions","Responsible for Managing Business Processes, Systems, Contracts and Service Delivery, ICT and Estates Infrastructure and Sustainability, Information and Knowledge Management, Business Continuity and Departmental Security",Her Majesty's Treasury,HM Treasury,Joint Workplace solutions,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24025,2557892,1,N/A,N/A,,Information Technology,,1
Sep-14,Senior,23967,N/D,SCS1,"Deputy Director, Environment and Transport Tax",Responsible for Environment and Transport Tax,Her Majesty's Treasury,HM Treasury,Environment And Transport Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,649747,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23965,N/D,SCS1,"Deputy Director, Treasury Group Internal Audit",Responsible for Government Internal Audit and Assurance Policy,Her Majesty's Treasury,HM Treasury,Treasury Group Internal Audit,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24025,320317,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23950,N/D,SCS1,"Deputy Director, Exchequer Funds and Accounts",Responsible for Exchequer Funds and Accounts,Her Majesty's Treasury,HM Treasury,Exchequer Funds and Accounts,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24059,718566,1,N/A,N/A,,Finance,,1
Sep-14,Senior,25393,N/D,SCS1,Deputy Director. Resilience and Resolution,Responsible for Resilience and Resolution,Her Majesty's Treasury,HM Treasury,Resilience and Resolution,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24033,671162,1,N/A,N/A,,Policy,,1
Sep-14,Senior,23966,N/D,SCS1,"Deputy Director, Corporate Tax",Responsible for Policy on Corporate and Financial Sector Taxation,Her Majesty's Treasury,HM Treasury,Corporate Taxation,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,755993,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24655,N/D,SCS1,"Deputy Director, International Institutions and Policy","Responsible for UK's approach to international institutions on economic and finance policy,",Her Majesty's Treasury,HM Treasury,International Institutions and Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24058,457304,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24744,N/D,SCS1,"Deputy Director, Competition, Markets, and Regulation","Responsible for Competition, Markets, and Regulation",Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,640049,0.7,N/A,N/A,,Policy,Part time 0.7 FTE,1
Sep-14,Senior,25070,N/D,SCS1,"Deputy Director, Energy, Enviroment and Agriculture","Responsible for Energy, Enviroment and Agriculture",Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,570002,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25062,N/D,SCS1,"Deputy Director, Government Financial Reporting",Responsible for Government Financial reporting,Her Majesty's Treasury,HM Treasury,Government Financial Reporting,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,26072,878094,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25140,N/D,SCS1,"Deputy Director, Sanctions  and Counter Illicit Finance",Responsible for Sanctions and Counter Illicit Finance,Her Majesty's Treasury,HM Treasury,Sanctions and Counter Illicit Finance,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24058,1050679,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25134,N/D,SCS1,"Deputy Director, Infrastructure UK  Policy and Strategy",Responsible for Infrastructure UK Policy and Strategy,Her Majesty's Treasury,HM Treasury,Infrastructure Strategy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24038,504417,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25203,N/D,SCS1,"Deputy Director, Group Finance",Responsible for Group Finance,Her Majesty's Treasury,HM Treasury,Group Finance,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24025,834534,1,N/A,N/A,,Finance,,1
Sep-14,Senior,25903,N/D,SCS1,"Deputy Director, Finance Management Team",Responsible for Government Finance Profession Planning and Performance,Her Majesty's Treasury,HM Treasury,Finance Management Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,25705,584560,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26218,N/D,SCS1,"Deputy Director, Assets, Savings, and Consumers",Responsible for policy towards the asset management sector and consumer financial services issues and for regulatory (i.e. non-tax) aspects of savings policy,Her Majesty's Treasury,HM Treasury,"Assets, Savings and Consumers",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24064,506367,1,N/A,N/A,,Policy,,1
Sep-14,Senior,25777,N/D,SCS1,"Deputy Director, Treasury Officer of Accounts",Responsible for Treasury Accounts,Her Majesty's Treasury,HM Treasury,Treasury Officer of Accounts,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,549946,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24253,N/D,SCS1,"Deputy Director, Enterprise and Property Tax",Responsible for policy on property taxes and tax measures to support investment in and by business,Her Majesty's Treasury,HM Treasury,Enterprise and Property Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,624245,0.8,N/A,N/A,,Policy,Part time 0.8 FTE,1
Sep-14,Senior,23989,N/D,SCS1,"Deputy Director, EU Institutions and Policy","Responsible for co-ordination of EU policy, economic reform and governance",Her Majesty's Treasury,HM Treasury,European Institutions and Policy,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,659493,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24274,N/D,SCS1,"Deputy Director, Equitable Life and International Tax","Responsible for International Tax, State Aids and the Equitable Life Payment Scheme.",Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24027,539495,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26179,N/D,SCS1,"Deputy Director, Government Economic and Social Research",Responsible for Government Economic and Social Research,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24041,726341,1,N/A,N/A,,Social Research,,1
Sep-14,Senior,24629,N/D,SCS1,"Deputy Director, EU Financing",Responsible for all aspects of EU financing,Her Majesty's Treasury,HM Treasury,European Union Financing,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24032,613348,0.91,N/A,N/A,,Policy,Part time 0.91FTE,1
Sep-14,Senior,24582,N/D,SCS1,"Deputy Director, RBS, Lloyds and Legacy Assets",Responsible for Government's interests in RBS and Lloyds; and the Financial Stability Group Analytical Unit.,Her Majesty's Treasury,HM Treasury,Lloyds and Analytical team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24033,628584,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24054,N/D,SCS1,"Deputy Director, Defence,Diplomacy and Intelligence","Responsible for Defence,Diplomacy and Intelligence",Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,1010372,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24638,N/D,SCS1,"Deputy Director, Global Economics",Responsible for analysis and advice on key global economic issues,Her Majesty's Treasury,HM Treasury,Global Economics,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24058,767364,1,N/A,N/A,,Policy,,1
Sep-14,Senior,26248,N/D,SCS1,"Deputy Director, Welfare Spending and Reform",Responsible for Welfare Spending and Reform,Her Majesty's Treasury,HM Treasury,Welfare Spending and Reform,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24030,842963,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24005,N/D,SCS1,"Deputy Director, Communications",Responsible for Communications,Her Majesty's Treasury,HM Treasury,COM Team,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,19678,0,1,N/A,N/A,,Communications,,1
Sep-14,Senior,23953,N/D,SCS1,"Deputy Director, Transport",Responsible for Transport,Her Majesty's Treasury,HM Treasury,Transport,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,287152,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24888,N/D,SCS1,"Deputy Director, Devolved and Local Government",Responsible for Devolved and Local Government,Her Majesty's Treasury,HM Treasury,Devolved and Local Government,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24031,792604,1,N/A,N/A,,Policy,,1
Sep-14,Senior,24983,N/D,SCS1,"Deputy Director, Strategic Projects",Responsible for Strategic Projects,Her Majesty's Treasury,HM Treasury,Group Human Resources,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24062,0,0.6,N/A,N/A,,Policy,Part time 0.6FTE,1
Sep-14,Senior,26441,N/D,SCS1,"Deputy Director, Corporate Finance, Business, Innovation and Skills","Responsible for spending control for BIS, policy on higher education, skills, science and innovation, and advice on corporate finance and the Government's asset sales strategy.",Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,468682,1,N/A,N/A,,Policy,,1
Sep-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Assets, Savings and Consumers",,,26218,,5,24824,38255,,Policy,,
Sep-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Assets, Savings and Consumers",,,26218,,4.6,41966,57801,,Policy,,
Sep-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Assets, Savings and Consumers",,,26218,,1,49985,60000,,Policy,,
Sep-14,Junior,,,Student,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Banking & Credit, Banking and Financial Sector Analysis, and Directors Office",,,23995,,1,18665,18480,,Policy,,
Sep-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Banking & Credit, Banking and Financial Sector Analysis, and Directors Office",,,23995,,1,18914,26720,,Policy,,
Sep-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Banking & Credit, Banking and Financial Sector Analysis, and Directors Office",,,23995,,12,24824,38255,,Policy,,
Sep-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Banking & Credit, Banking and Financial Sector Analysis, and Directors Office",,,23995,,7,41966,57801,,Policy,,
Sep-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Banking & Credit, Banking and Financial Sector Analysis, and Directors Office",,,23995,,2,49985,60000,,Policy,,
Sep-14,Junior,,,Student,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy and GMS,,,26791,,1,18665,18480,,Policy,,
Sep-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy and GMS,,,26791,,5,18914,26720,,Policy,,
Sep-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy and GMS,,,26791,,8,24824,38255,,Policy,,
Sep-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy and GMS,,,26791,,3.5,41966,57801,,Policy,,
Sep-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy and GMS,,,26791,,2,49985,60000,,Policy,,
Sep-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chancellors Office,,,23984,,1,16550,21663,,Policy,,
Sep-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chancellors Office,,,23984,,3,18914,26720,,Policy,,
Sep-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellors Office,,,23984,,3,24824,38255,,Policy,,
Sep-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellors Office,,,23984,,1,41966,57801,,Policy,,
Sep-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellors Office,,,23984,,1,49985,60000,,Policy,,
Sep-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,2,16550,21663,,Policy,,
Sep-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,1,18914,26720,,Policy,,
Sep-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,5,24824,38255,,Policy,,
Sep-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,1,49985,60000,,Policy,,
Sep-14,Junior,,,Range B,Communications Support Officer,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,1,16550,21663,,Communications,,
Sep-14,Junior,,,Range C,Communications Support Officer,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,2,18914,26720,,Communications,,
