Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Mar-11,Senior,COM004,N/D,SCS1,Deputy Director - Public Health Marketing & Change4Life,'Responsible for planning; creating; delivering and evaluating compelling behaviour change marketing initiatives based on customer understanding. Responsible for strategic marketing partnerships with commercial and voluntary sector.',Department of Health,Department of Health,Communications Directorate,020 7210 4850,N/D,COM001,1554558,1,N/D,,Communications,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-11,Senior,COM005,N/D,SCS1,Deputy Director - Corporate Communications,'Responsible for internal communications and staff engagement; digital communications; digital engagement and social media; and managing the Department's publishing and distribution activities.',Department of Health,Department of Health,Communications Directorate,020 7210 4850,N/D,COM001,545837,1,N/D,,Communications,Secondee from Knowsley PCT http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-11,Senior,COM006,N/D,SCS1,Deputy Director - Business & Strategy,'Responsible for advising on communications strategy; developing and sharing audience insight; Comms Directorate business plan; assurance to DG on finance; HR and procurement.',Department of Health,Department of Health,Communications Directorate,020 7210 4850,N/D,COM001,605203,1,N/D,,Communications,Secondee from RPHG North West http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-11,Senior,COM007,N/D,SCS1,Deputy Director - News / Media Centre,'Provision of a 24/7 media relations service for ministers; senior officials and all policy teams in the department of Health. Responds to all journalist enquiries and interview requests.',Department of Health,Department of Health,Communications Directorate,020 7210 4850,N/D,COM001,1825156,1,N/D,,Communications,Secondee from South West Essex PCT http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-11,Senior,FOD001,Eliminated,SCS3,Director General for Finance & Chief Operating Officer,'Responsible for delivering the Department's financial and internal operational functions.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,PSO001,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD002,Eliminated,SCS2,National Director of Equality & Human Rights,"'Responsible for - providing strategic focus, leadership and coordination within the Department of Health in relation to issues of equality and human rights.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,This SCS post is filled by a secondee whose salary has not been included in the Salary Cost of Reports column. HPA staff http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD003,Eliminated,SCS2,Director - Information Services,'Provision of Corporate ICT and Information Services; Head of Profession for IT across DH IS and ALBs; Operational leadership and direction of DH IS and ALBs; Setting the strategic direction and policy for ICT and Information Services; Cross Government liaison and overall supplier governance.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD004,Eliminated,SCS1,Deputy Director - IS Strategy & Delivery,"'Responsible for - Business & systems analysis; Project commissioning, management & Support; Technical architecture, Design standards & principles; Customer relationship ownership & accountability; Major projects & corporate system rollout & ongoing benefits realisation; Management of flexible pool relationships & Contracts; IS Finance Support & Asset Accounting; IMS3 Programme.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD003,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD005,Eliminated,SCS1,Deputy Director - Information Services Delivery & Commercial Management,'Responsible for - Supplier engagement & Management; System commissioning; Operations/Infrastructure management; Commercial and contract management; Service/Release & Change management; Applications support & maintenance; Database administration; User support; Delphi/Web content management',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD003,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD006,Eliminated,SCS1,Deputy Director - Knowledge & Information Management & Library Services,'Responsible for - Knowledge Management Advice & consultancy; Library; ICT Training & Exploitation; Enterprise Content management; Information management/Data protection; Records; Directory Services/CHIP; Security; Business continuity Project assurance.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD003,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD007,Eliminated,SCS2,Director - Human Resources,'Responsible for: Departmental HR Strategy and policies All aspects of employment Learning & Development HR aspects of Business Management System Overseeing ALB HR governance and assurance.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD008,Eliminated,SCS1,Deputy Director - HR Operations,'Responsible for: Restructuring Priority Posting Pool Performance Management Dispute Resolution Fast Stream & SCS Unit Recruitment Controls Exits (inc Compensation Scheme).',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD007,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD009,Eliminated,SCS1,Deputy Director - HR Business Partnering & Development,'Responsible for: Business Consulting L&D Consulting HR Systems & Information Talent Development Leadership Development Skills Development HR Projects (inc NPW Project),Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD007,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD010,Eliminated,SCS1,Deputy Director - HR Policy - Diversity & Reward,"'Responsible for: Policy, Diversity & Reward Corporate Social Responsibility HR communications Business Continuity Corporate Business Industrial Relations Accountability.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD007,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD011,Eliminated,SCS2,Director - Development & Delivery,"'Responsible for - corporate governance, performance management and DH's capability and organisational development.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD012,Eliminated,SCS1,Deputy Director - Head of Governance,'Responsible for - Governance processes & assurance standards Expenses & Risk policy Departmental Board & Audit Committee secretariat DH accountability including NAO and PAC liaison.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD011,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD013,Eliminated,SCS1,Deputy Director - Business Planning & Organisational Development,'Responsible for - Efficiency measures Organisational Development Business planning & corporate performance SCS Forum and SCS communications F&OD Commissioning Hub.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD011,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD014,Eliminated,SCS1,Deputy Director - DH Delivery,'Responsible for - Capability Development Corporate management and secretariat Employee Engagement DG performance and development Civil Service Live [cross-govt SRO] Civil Service Awards [cross-govt SRO].',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD011,0,1,0,0,,,0.6 FTE http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD015,Eliminated,SCS2,Director - Ministerial Business & Parliamentary Accountability,"'Responsible for managing DH’s corporate accountability to Parliament and the public. Specifically: to support Ministers by managing and maintaining private offices, to respond to all correspondence and FoI requests from MPs and the public to respond to all PQs and Parliamentary Business to process the Queen's Honours nominations from the NHS and other health and social care organisations and DH employees.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1
Mar-11,Senior,FOD016,Eliminated,SCS1,Principal Private Secretary to the Secretary of State,'Responsible for: Direct Pr/Off support to the Secretary Of State; Management of Secretary of State's Private Office; Liaison between Secretary of State/Ministerial Team and No. 10/HMT/Cabinet Office; Management and support for Special Advisers (Media & Policy); Management of all ministerial Private Offices; Management of Parliamentary Relations Unit; Lead on Health Orals and Stakeholder Forum.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD015,0,1,0,0,,,,
Mar-11,Senior,FOD017,Eliminated,SCS2,Director - Group Finance,"'Accounting, financial management & reporting and corporate finance services.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,,
Mar-11,Senior,FOD018,Eliminated,SCS1,Deputy Director - Corporate Finance Services,Provision of Corporate finance services including; payroll; expenses (including taxation); accounts payable/receivable; losses and special payments; Government procurement card and DH finance system support; reports; training and transactions.,Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD017,0,1,0,0,,,,
Mar-11,Senior,FOD019,Eliminated,SCS1,Deputy Director - Financial Information & Accounts,'Co-ordination and production of the DH Resource account and NHS Summarised accounts including collection of in year NHS financial information to support overall financial reporting and performance management.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD017,0,1,0,0,,,,
Mar-11,Senior,FOD020,Eliminated,SCS1,Deputy Director - Group Financial Reporting & Cash Management,'In year co-ordination; management and reporting of the overall DH revenue and capital budgets to Departmental Board; Parliament and HM Treasury. Provision for Cash funding to PCTs; SHAs; Loans and PDC to NHS Trusts and Foundation Trusts.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD017,0,1,0,0,,,,
Mar-11,Senior,FOD021,Eliminated,SCS1,Deputy Director - DH Financial Management & Reporting,"'Provision of finance support, advice ,challenge and in year financial management and reporting of DH revenue and capital central budgets; Administration spend and ALB finances.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD017,0,1,0,0,,,,
Mar-11,Senior,FOD022,Eliminated,SCS2,Director - Operations,"'Responsible for DH property and facilities; programme and project management, as Head of Profession, particularly corporate change/improvement programmes; internal audit; sustainable development, including SRO for carbon reduction and adaptation to climate change; business continuity management.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,,
Mar-11,Senior,FOD023,Eliminated,SCS1,Deputy Director - Internal Audit,"'Delivery of the annual Internal Audit Plan; Delivery of annual opinion on internal control, governance & risk management; Reporting on internal audit performance and control issues to Audit Committee; DH fraud investigation.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD022,0,1,0,0,,,,
Mar-11,Senior,FOD024,Eliminated,SCS1,Deputy Director - Corporate Programme Office,'Oversight of corporate change/ improvement programmes - Programme and Project Management Strategy & Centre of Expertise - DH Sustainable Development & Climate Change Strategy - DH Business Continuity.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD022,0,1,0,0,,,,
Mar-11,Senior,FOD025,Eliminated,SCS1,Deputy Director - Accommodation & Building Services,'DH Strategic and Operational Estates and Facilities Management Strategic Estates Management for ALBs High Performing Property Programme for DH & ALBs Sustainable Operations on the DH Estate.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD022,0,1,0,0,,,,
Mar-11,Senior,FOD026,Eliminated,SCS1,Deputy Director - Workforce Change Strategy,"'Workforce Change Strategy (Flexible Resource Management, Machinery of Government changes, HR Policy and Process Review).'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD022,0,1,0,0,,,,
Mar-11,Senior,FOD027,Eliminated,SCS1,Deputy Director - Workplace Transformation,'DH Estates Strategy.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD022,0,1,0,0,,,,
Mar-11,Senior,FOD028,Eliminated,SCS2,Director - Financial Planning & Allocation,"'Spending review for DH, NHS and Personal Social Services, including negotiation of Public Service Agreements. DH lead link with HM Treasury. NHS resource allocation; forward financial planning and allocation; and PCT allocations and new allocations formula up to 2010/11.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD001,0,1,0,0,,,,
Mar-11,Senior,FOD029,Eliminated,SCS1,Deputy Director - Senior Economic Advisor,'Baseline Pressures Analysis Reporting & Accountability (Departmental Report & Public Expenditure Inquiry) Analytical Support to F&OD.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD028,0,1,0,0,,,,
Mar-11,Senior,FOD030,Eliminated,SCS1,Deputy Director - Resource Allocation - Efficiency & Income Generation,"'Allocation, Efficiency & Income Generation Resource Allocations (Policy & Analysis) Income Generation.'",Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD028,0,1,0,0,,,,
Mar-11,Senior,FOD031,Eliminated,SCS1,Deputy Director of Financial Planning,'Spending Review Policy Pressures Affordability of Policy Reduction in Central Budgets.',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD028,0,1,0,0,,,,
Mar-11,Senior,FOD032,Eliminated,SCS1,Deputy Director - Financial Planning & Allocations,'Performance Framework Efficiency Funding of the SR (Social Care).',Department of Health,Department of Health,Finance & Operations Directorate,N/A,N/A,FOD028,0,1,0,0,,,,
Mar-11,Senior,PSD001,Eliminated,SCS3,Director General for Policy & Strategy,'Director General for Policy & Strategy.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSO001,0,1,0,0,,,,
Mar-11,Senior,PSD002,Eliminated,SCS2,Director - Health Inequalities & Partnership,"'Providing strategic focus, leadership and coordination, within the Department of Health, in relation to issues of equality and human rights.' Leading the Department's work on health inequalities, social justice, child poverty and disadvantage.' Developing and implementing a programme of work on The Big Society, including managing the Department of Health's grants programme.' Providing strategic leadership and focus within the Department on health care for military personnel, their families and veterans.' Leading the Department of Health's work on health and crime, including the Coalition commitment on Information Sharing.' Leading the Department’s work with stakeholders, including responsibility for key engagement mechanisms.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD001,0,1,0,0,,,,
Mar-11,Senior,PSD003,Eliminated,SCS1,Deputy Director - Programme Director Health Inequalities and Local Improvement programme,"'Responsible for Health Inequalities & Local Improvement programme team, Joint Strategic Needs Assessment Development Policy, Health Inequalities Network, Inclusion Health Policy, Local Improvement.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD002,0,1,0,0,,,,
Mar-11,Senior,PSD004,Eliminated,SCS1,Deputy Director - Health Inequalities and Partnership,"'Responsible for: - supporting the NHS, wider Government and Communities to reduce inequalities in health; Health Inequalities performance commissioning support resources e.g. NSTs, developing strategy e.g. Marmot Review of health inequalities - driving cross-government contribution to revising health inequalities e.g. input to Committee for Social Justice '",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD002,0,1,0,0,,,,
Mar-11,Senior,PSD005,Eliminated,SCS1,Deputy Director - Third Sector Programme Manager,'Responsible for Third sector programmes Grants Hub Big Society DH lead.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD002,0,1,0,0,,,,
Mar-11,Senior,PSD006,Eliminated,SCS1,Deputy Director - Violence Social Exclusion & Military Health Relations,"'Responsible for Policy on Family Intervention Projects, Violence against Women and Children Policy, Knife Crime, Military and Veteran Health.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD002,0,1,0,0,,,,
Mar-11,Senior,PSD007,Eliminated,SCS1,Deputy Director - Equality & Partnerships,"'Responsible for - National Stakeholder Forum; - stakeholder and external relationships; - equality and human rights policy support and advice; - single equality scheme; - race, disability, gender, age, sexual orientation, religion, belief and faith communities equality; - NHS chaplaincy.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD002,0,1,0,0,,,,
Mar-11,Senior,PSD008,Eliminated,SCS2,Director - Office of the Chief Analyst,'The Office of the Chief Analyst provides analytical support to Policy and Strategy Directorate.' It also conducts wide-ranging strategic analytical work at the initiative of the Chief Analyst and undertakes some corporate analytical functions.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD001,0,1,0,0,,,,
Mar-11,Senior,PSD009,Eliminated,SCS1,Deputy Director - Operations Policy & Project Resource,"'Responsible for SRO for Directorate HR, Business & Finance, Support to the Director General, Directorate organisational development, Input into corporate organisational development, Policy support to directorate at DG request, Relationship management Equality & Human Rights Commission, Equalities Transformation Programme, Equality & Human Rights Assurance Group Secretariat, White paper consultation & Engagement management, Directorate Health & Well being.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD001,0,1,0,0,,,,
Mar-11,Senior,PSD010,Eliminated,SCS2,Director - Policy Unit,"'Director, Policy Unit The Policy Support Unit ensures effective implementation of health reform, supports health reform policy development, improves policy making across DH and manages primary legislation. Responsibilities include: • Systems Reform and Incentives; policy; strategy and evaluation • Evaluation of Health Reform and Next Stage Review • Academic Health Science Centres • Commissioning for Quality and Innovation (CQUIN) • Policy on Co-Payment and Top Ups • Personal Health Budgets • System Architecture; roles and accountabilities • NHS Constitution and Empowerment • Managing primary legislation • Legislative programme • Better Policy Making Training courses - e.g. Improving Policy Skills • Policy and business grid • PSU briefing function across Policy and Strategy directorate and policy on devolution • Secretariat to CMB's policy committee • Economic support for PSU • Analytical support for PSU • DH Functions Audit • Health White Paper • Supporting policy development (FTs; failure; GP consortia; democratic legitimacy) • Supporting policy development (regulation).'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD001,0,1,0,0,,,,
Mar-11,Senior,PSD011,Eliminated,SCS1,Deputy Director - Policy Unit,'Responsible for NHS White Paper ‘Liberating the NHS’ and system architecture Supporting policy development on regulation Personal health budgets NHS Constitution.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD010,0,1,0,0,,,,
Mar-11,Senior,PSD012,Eliminated,SCS1,Deputy Director - Policy Unit,"'Responsible for System reform and incentives Supporting policy development on Foundation Trusts, failure regime, GP commissioning consortia and democratic legitimacy in health Commissioning for Quality and Innovation (CQUIN) framework.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD010,0,1,0,0,,,,
Mar-11,Senior,PSD013,Eliminated,SCS1,Deputy Director - Head of Legislation & Policy Improvement,'Responsible for Primary Legislation Improving Policy making across DH.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD010,0,1,0,0,,,,
Mar-11,Senior,PSD014,Eliminated,SCS2,Director - Strategy Group,"'Director of Strategy Providing strategic focus, leadership and coordination, for the Department of Health's Strategy Group and its relations with ministers.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD001,0,1,0,0,,,,
Mar-11,Senior,PSD015,Eliminated,SCS1,Deputy Director - Senior Strategy Adviser,"'Responsible for Government Operational Research Service (GORS), Strategic skills capability building for DH.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD014,0,1,0,0,,,,
Mar-11,Senior,PSD016,Eliminated,SCS1,Deputy Director - Senior Strategy Adviser,e for Strategic Audit: Key challenges for health and care for England – the strategic evidence base.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD014,0,1,0,0,,,,
Mar-11,Senior,PSD017,Eliminated,SCS1,Deputy Director - Senior Strategy Adviser,"'Responsible for Strategic Finance work, overall SG work Programme.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD014,0,1,0,0,,,,
Mar-11,Senior,PSD018,Eliminated,SCS1,Deputy Director - Senior Strategy Adviser,'Responsible for Capability building – focusing on building DH's understanding of other systems.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD014,0,1,0,0,,,,
Mar-11,Senior,PSD019,Eliminated,SCS1,Deputy Director - Senior Strategy Adviser,'Responsible for Public Health White Paper project.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD014,0,1,0,0,,,,
Mar-11,Senior,PSD020,Eliminated,SCS2,Director - System Regulation (Health & Audit Social Care),"'Providing leadership on system regulation, EU patient mobility, sponsoring CQC, implementing the ALB review, sponsoring the second Francis Inquiry, and supporting the Government’s priorities on regulatory reform and reducing burdens, consistent with the Coalition Agreement and White Paper (Liberating the NHS).'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD001,0,1,0,0,,,,
Mar-11,Senior,PSD021,Eliminated,SCS1,Deputy Director - Head of Better Regulation & Simplification,"'Responsible for Promotion of better regulation & BRE sponsor One in one out, Regulatory Impact Assessment DH Consultation coordination Reducing NHS data burdens programme Minimising statutory regulation.'",Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD020,0,1,0,0,,,,
Mar-11,Senior,PSD022,Eliminated,SCS1,Deputy Director - Head of EU & Cross Border Health and EU Competition Policy,'Responsible for Overseas treatment in EU & outside Europe Negotiations on the EU Cross-Border Healthcare Directive Implementation of EU law on patient mobility Impact of EU competition law on NHS.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD020,0,1,0,0,,,,
Mar-11,Senior,PSD023,Eliminated,SCS1,Deputy Director - Head of CQC Policy - Legislation & Sponsorship,'Responsible for Business & policy sponsorship for CQC Implementation of WP & ALB report in relation to CQC Extending scope of registration DH sponsor for Mid-Staffs Inquiry.',Department of Health,Department of Health,Policy & Strategy Directorate,N/A,N/A,PSD020,0,1,0,0,,,,
Mar-11,Senior,CDD001,Flora Goldhill,SCS3,Chief Operating Officer and DG for CDD,'Responsible for: delivering the Department's internal operational functions and transition for the Department.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,PSO001,0,1,130000,134999,Operational Delivery,,,
Mar-11,Senior,CDD002,Liz Eccles,SCS2,Director - Development & Delivery,"'Responsible for - corporate governance, performance management and DH's capability and organisational development.'",Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,0,1,100000,104999,Operational Delivery,,,
Mar-11,Senior,CDD003,N/D,SCS1,Deputy Director - Business Planning & Organisational Development,'Responsible for - Efficiency measures Organisational Development Business planning & corporate performance SCS Forum and SCS communications F&OD Commissioning Hub.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,317593,1,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD004,N/D,SCS1,Deputy Director - DH Delivery,'Responsible for - Capability Development Corporate management and secretariat Employee Engagement DG performance and development Civil Service Live [cross-govt SRO] Civil Service Awards [cross-govt SRO].',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,248691,1,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD005,Marion Furr,SCS2,Director Ministerial Business & Parliamentary Accountability,'Responsible for managing DH’s corporate accountability to Parliament and the public. Specifically to support Ministers by managing and maintaining private offices to respond to all correspondence and FoI requests from MPs and the public to respond to all PQs and Parliamentary Business to process the Queen's Honours nominations from the NHS and other health and social care organisations and DH employees.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,2309347,1,90000,94999,Operational Delivery,,,
Mar-11,Senior,CDD006,N/D,SCS1,Principal Private Secretary to the Secretary of State,'Responsible for: Direct Pr/Off support to the Secretary Of State; Management of Secretary of State's Private Office; Liaison between Secretary of State/Ministerial Team and No. 10/HMT/Cabinet Office; Management and support for Special Advisers (Media & Policy); Management of all ministerial Private Offices; Management of Parliamentary Relations Unit; Lead on Health Orals and Stakeholder Forum.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD005,1612102,1,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD007,Richard Mundon,SCS2,Director - Operations,"'Responsible for DH property and facilities; programme and project management, as Head of Profession, particularly corporate change/improvement programmes; internal audit; sustainable development, including SRO for carbon reduction and adaptation to climate change; business continuity management.'",Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,65579,1,85000,89999,Operational Delivery,,,
Mar-11,Senior,CDD008,N/D,SCS1,Deputy Director - Internal Audit,"'Delivery of the annual Internal Audit Plan; Delivery of annual opinion on internal control, governance & risk management; Reporting on internal audit performance and control issues to Audit Committee; DH fraud investigation.'",Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD007,605279,1,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD009,N/D,SCS1,Deputy Director - Corporate Programme Office,'Oversight of corporate change/ improvement programmes - Programme and Project Management Strategy & Centre of Expertise - DH Sustainable Development & Climate Change Strategy - DH Business Continuity.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD007,368733,1,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD010,N/D,SCS1,Deputy Director - Accommodation & Building Services,'DH Strategic and Operational Estates and Facilities Management Strategic Estates Management for ALBs High Performing Property Programme for DH & ALBs Sustainable Operations on the DH Estate.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD007,681786,1,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD011,N/D,SCS1,Deputy Director - Workplace Transformation,'DH Estates Strategy.',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD007,0,0.5,N/D,,Operational Delivery,,,
Mar-11,Senior,CDD012,Robert Edmondson-Jones,SCS2,Director of Information Services,'Provision of Corporate ICT and Information Services; Head of Profession for IT across DH IS and ALBs; Operational leadership and direction of DH IS and ALBs; Setting the strategic direction and policy for ICT and Information Services; Cross Government liaison and overall supplier governance',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,0,1,105000,109999,Information Technology,,,
Mar-11,Senior,CDD013,N/D,SCS1,Deputy Director of Information Services Strategy & Delivery,"'Responsible for - Business & systems analysis; Project commissioning, management & Support; Technical architecture, Design standards & principles; Customer relationship ownership & accountability; Major projects & corporate system rollout & ongoing benefits realisation; Management of flexible pool relationships & Contracts; IS Finance Support & Asset Accounting; IMS3 Programme'",Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD012,1520267,1,N/D,,Information Technology,,,
Mar-11,Senior,CDD014,N/D,SCS1,Deputy Director of Information Services Delivery & Commercial Management,'Responsible for - Supplier engagement & Management; System commissioning; Operations/Infrastructure management; Commercial and contract management; Service/Release & Change management; Applications support & maintenance; Database administration; User support; Delphi/Web content management',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD012,1910408,1,N/D,,Information Technology,,,
Mar-11,Senior,CDD015,N/D,SCS1,Deputy Director of Knowledge & Information Management & Library Services,'Responsible for - Knowledge Management Advice & consultancy; Library; ICT Training & Exploitation; Enterprise Content management; Information management/Data protection; Records; Directory Services/CHIP; Security; Business continuity Project assurance',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD012,1898432,1,N/D,,Knowledge and Information Management (KIM),,,
Mar-11,Senior,CDD016,Harbhajan Brar,SCS2,Director - Human Resources,'Responsible for: Departmental HR Strategy and policies All aspects of employment Learning & Development HR aspects of Business Management System Overseeing ALB HR governance and assurance Implementation of Next Generation HR',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD001,25857,1,120000,124999,Human Resources,,,
Mar-11,Senior,CDD017,Eliminated,SCS1,Deputy Director - HR Operations,'Responsible for: Restructuring Priority Posting Pool Performance Management Dispute Resolution Fast Stream & SCS Unit Recruitment Controls Exits (inc Compensation Scheme)',Department of Health,Department of Health,Corporate Development Directorate,N/A,N/A,CDD016,0,1,0,0,,,,
Mar-11,Senior,CDD018,N/D,SCS1,Deputy Director - HR Business Partnering & Development,'Responsible for: Business Consulting L&D Consulting HR Systems & Information Talent Development Leadership Development Skills Development HR Projects (inc NPW Project).',Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD016,800832,1,N/D,,Human Resources,,,
Mar-11,Senior,CDD019,N/D,SCS1,Deputy Director - HR Operations - Policy - Diversity & Reward,"'Responsible for: Policy, Diversity & Reward Corporate Social Responsibility HR communications Business Continuity Corporate Business Industrial Relations Accountability Performance Management Dispute Resolution Fast Stream Unit Recruitment Controls.'",Department of Health,Department of Health,Corporate Development Directorate,020 7210 4850,N/D,CDD016,1523937,1,N/D,,Human Resources,,,
